choose_y,"precision_stay, %","precision_drop, %","recall_stay, %","recall_drop, %","recall_general, %","accuracy, %",clf,wave,class proportions,ROC AUC,Cohen’s kappa
personal only,0.871,0.15,0.302,0.733,0.518,0.364,RBF_SVM,2,0.168,0.292,0.013
"pers+engin, age_gender",0.933,0.23,0.612,0.725,0.668,0.628,DT,4,0.16,0.728,0.177
personal+engineered,0.932,0.23,0.614,0.722,0.668,0.629,DT,4,0.16,0.728,0.177
all features,0.89,0.164,0.391,0.711,0.551,0.437,RBF_SVM,2,0.168,0.864,0.043
"pers+engin, age_gender",0.918,0.265,0.621,0.711,0.666,0.635,DT,5,0.193,0.735,0.198
personal+engineered,0.925,0.248,0.639,0.697,0.668,0.648,DT,3,0.171,0.731,0.192
"pers+engin, age_gender",0.894,0.172,0.449,0.683,0.566,0.483,RBF_SVM,2,0.168,0.765,0.059
"pers+engin, age_gender",0.835,0.258,0.448,0.683,0.566,0.5,RBF_SVM,1,0.28,0.706,0.083
personal+engineered,0.821,0.244,0.41,0.68,0.545,0.469,RBF_SVM,1,0.28,0.71,0.055
"pers+engin, age_gender",0.921,0.246,0.644,0.677,0.661,0.649,DT,3,0.171,0.734,0.186
personal only,0.817,0.242,0.41,0.673,0.542,0.467,RBF_SVM,1,0.28,0.693,0.051
personal+engineered,0.912,0.271,0.652,0.673,0.662,0.655,DT,5,0.193,0.735,0.203
personal+engineered,0.89,0.169,0.452,0.667,0.559,0.482,RBF_SVM,2,0.168,0.758,0.053
"pers+engin, age_gender",0.911,0.275,0.661,0.665,0.663,0.662,SVM_C,5,0.193,0.75,0.207
"pers+engin, age_gender",0.927,0.251,0.685,0.662,0.673,0.682,SVM_C,4,0.16,0.749,0.206
personal+engineered,0.82,0.248,0.446,0.652,0.549,0.491,SVM_C,1,0.28,0.639,0.062
"pers+engin, age_gender",0.918,0.249,0.664,0.651,0.658,0.662,SVM_C,3,0.171,0.765,0.189
all features,0.83,0.26,0.482,0.649,0.566,0.519,RBF_SVM,1,0.28,0.802,0.085
personal only,0.817,0.245,0.44,0.648,0.544,0.485,SVM_C,1,0.28,0.629,0.055
"pers+engin, age_gender",0.924,0.246,0.683,0.648,0.665,0.678,LR,4,0.16,0.763,0.196
all features,0.901,0.248,0.623,0.645,0.634,0.627,RBF_SVM,5,0.193,0.865,0.163
personal only,0.904,0.26,0.649,0.642,0.645,0.648,DT,5,0.193,0.701,0.183
"pers+engin, age_gender",0.905,0.266,0.66,0.639,0.65,0.657,LR,5,0.193,0.763,0.191
personal+engineered,0.905,0.269,0.667,0.637,0.652,0.662,SVM_C,5,0.193,0.743,0.196
all features,0.886,0.169,0.473,0.636,0.555,0.497,DT,2,0.168,0.69,0.051
"pers+engin, age_gender",0.825,0.256,0.481,0.635,0.558,0.515,SVM_C,1,0.28,0.645,0.076
"pers+engin, age_gender",0.904,0.268,0.666,0.634,0.65,0.661,SVM_def,5,0.193,0.777,0.193
personal only,0.903,0.263,0.657,0.634,0.646,0.653,SVM_def,5,0.193,0.746,0.185
personal only,0.863,0.148,0.389,0.633,0.511,0.424,SVM_C,2,0.168,0.633,0.009
all features,0.917,0.225,0.65,0.633,0.642,0.648,DT,4,0.16,0.761,0.161
personal+engineered,0.914,0.247,0.671,0.631,0.651,0.665,SVM_C,3,0.171,0.763,0.184
"pers+engin, age_gender",0.892,0.179,0.514,0.631,0.572,0.53,SVM_C,2,0.168,0.706,0.07
personal+engineered,0.922,0.249,0.696,0.63,0.663,0.687,SVM_C,4,0.16,0.743,0.199
all features,0.906,0.218,0.614,0.629,0.621,0.616,RBF_SVM,3,0.171,0.886,0.136
personal only,0.907,0.224,0.63,0.623,0.627,0.629,SVM_C,3,0.171,0.728,0.146
personal+engineered,0.886,0.17,0.491,0.622,0.556,0.51,SVM_C,2,0.168,0.693,0.054
personal+engineered,0.92,0.244,0.691,0.622,0.657,0.682,LR,4,0.16,0.754,0.189
personal+engineered,0.901,0.262,0.662,0.621,0.642,0.655,LR,5,0.193,0.756,0.182
all features,0.911,0.243,0.669,0.62,0.644,0.662,DT,3,0.171,0.746,0.176
personal+engineered,0.9,0.26,0.66,0.619,0.64,0.654,SVM_def,5,0.193,0.769,0.179
personal only,0.9,0.261,0.663,0.616,0.64,0.655,LR,5,0.193,0.734,0.18
personal only,0.908,0.231,0.651,0.614,0.633,0.646,DT,3,0.171,0.682,0.157
"pers+engin, age_gender",0.917,0.234,0.679,0.613,0.646,0.67,SVM_def,4,0.16,0.779,0.174
all features,0.809,0.241,0.462,0.611,0.536,0.495,DT,1,0.28,0.634,0.047
personal only,0.918,0.244,0.699,0.607,0.653,0.686,LR,4,0.16,0.74,0.188
personal only,0.919,0.25,0.709,0.607,0.658,0.695,SVM_C,4,0.16,0.73,0.197
